Time,data
3280.724,0.1269143521785736
3315.824,-0.6443426012992859
3316.076,-0.19928093254566193
3316.876,-0.1810968667268753
3345.224,0.25068676471710205
3346.124,0.09870012104511261
3346.224,-0.08939336240291595
3350.024,0.008525963872671127
3362.676,-0.043952394276857376
3362.876,-0.029292630031704903
3363.228,-0.03760974854230881
3364.576,-0.0788504108786583
3364.676,0.026226472109556198
3368.124,0.01676177605986595
3368.424,0.08331175148487091
3369.776,0.09567229449748993
3370.376,0.09858433157205582
3370.724,0.08769842237234116
3371.676,0.0893733873963356
3373.224,0.05678078159689903
3373.576,-0.02756967768073082
3374.88,-0.050234198570251465
3375.676,-0.027253959327936172
3376.476,-0.01538191456347704
3377.024,-0.016133740544319153
3416.276,-0.35962536931037903
3439.024,0.2757902145385742
3440.376,0.5696571469306946
3476.276,0.1921982765197754
3476.624,-0.09385834634304047
3478.424,-0.15780898928642273
3478.476,-0.18458372354507446
3480.176,-0.15233567357063293
3480.424,-0.08335036039352417
3482.076,-0.05380614101886749
3482.376,0.03540528565645218
3483.024,0.060451533645391464
3483.924,0.05780686438083649
3484.324,0.04855094105005264
3485.276,0.043650634586811066
3485.624,0.030093150213360786
3486.076,0.028572943061590195
3487.976,0.10538238286972046
3488.324,0.06408023089170456
3489.476,0.1076536774635315
3490.424,0.09100805222988129
3491.176,0.05072854086756706
3492.124,0.02284407801926136
3492.476,-0.030237333849072456
3492.824,-0.044321537017822266
3493.628,-0.03761866316199303
3493.976,-0.041370827704668045
3494.576,-0.039544135332107544
3495.424,-0.032847996801137924
3495.776,-0.02440582774579525
3497.176,-0.02865995094180107
3497.624,-0.013782527297735214
3499.924,-0.1003943607211113
3501.676,-0.10726209729909897
3502.124,-0.04788583517074585
3502.524,-0.0319296196103096
3503.924,-0.07122305780649185
3504.88,-0.04297750070691109
3506.176,-0.03674306720495224
3508.976,-0.04750533401966095
3509.324,0.04189060628414154
3510.124,0.0660228505730629
3510.624,0.07076428085565567
3510.728,0.06315921247005463
3511.524,0.06618017703294754
3512.276,0.04761669412255287
3513.024,0.027478061616420746
3513.376,0.0012787118321284652
3514.276,0.01323813945055008
3515.576,0.024008287116885185
3515.924,-0.0081328721717
3516.176,-0.01206506323069334
3516.724,-0.017113439738750458
3517.124,-0.022930989041924477
3517.524,-0.027886617928743362
3518.476,-0.036595046520233154
3518.824,-0.036745283752679825
3519.724,-0.04479924961924553
3520.176,-0.03561410307884216
3520.324,-0.025808729231357574
3521.124,-0.0304242093116045
3521.576,-0.010009213350713253
3522.024,0.006561498157680035
3522.524,0.0190721545368433
3523.328,0.029751550406217575
3524.276,0.03536856546998024
3524.624,0.03433868661522865
3525.176,0.03142571076750755
3525.576,0.026556318625807762
3525.776,0.0200868658721447
3526.728,0.02904997579753399
3526.824,0.006917304825037718
3527.176,0.010982266627252102
3528.128,0.024657292291522026
3528.476,0.01038330513983965
3528.576,0.004760573618113995
3529.976,0.042711153626441956
3531.228,0.021166013553738594
3532.524,-0.034554094076156616
3533.024,-0.06991669535636902
3533.476,-0.08602552860975266
3533.824,-0.09154932200908661
3534.624,-0.1086922138929367
3535.924,-0.10416565090417862
3536.024,-0.01961023546755314
3538.876,-0.08759769052267075
3539.276,0.05534952133893967
