Time,data
3280.724,0.340300977230072
3315.824,-1.842057228088379
3316.076,-0.430375337600708
3316.876,-0.42730310559272766
3345.224,1.0060781240463257
3346.124,0.4869875907897949
3346.224,-0.21910187602043152
3350.024,-0.2486235499382019
3362.676,0.5669199228286743
3362.876,0.48131269216537476
3363.228,0.6014195680618286
3364.576,1.049619197845459
3364.676,-0.030029844492673874
3368.124,0.7159960865974426
3368.424,-0.12480583786964417
3369.776,-0.25365713238716125
3370.376,-0.13928037881851196
3370.724,-0.21817567944526672
3371.676,0.01051253080368042
3373.224,0.16629940271377563
3373.576,-0.1015118658542633
3374.88,-0.17575035989284515
3375.676,-0.12342922389507294
3376.476,-0.09743137657642365
3377.024,-0.06333959102630615
3416.276,4.174736976623535
3439.024,0.24292537569999695
3440.376,0.5062670707702637
3476.276,0.49110040068626404
3476.624,0.023855652660131454
3478.424,-0.169584259390831
3478.476,-0.25320500135421753
3480.176,-0.16492745280265808
3480.424,-0.10799584537744522
3482.076,0.017049487680196762
3482.376,0.09146701544523239
3483.024,0.13640709221363068
3483.924,0.14073163270950317
3484.324,0.09374924749135971
3485.276,0.0945030152797699
3485.624,0.03313577547669411
3486.076,0.01333397626876831
3487.976,0.09434549510478973
3488.324,-0.005249024368822575
3489.476,0.004730425775051117
3490.424,-0.02146056294441223
3491.176,-0.048137154430150986
3492.124,-0.06577274203300476
3492.476,-0.07961523532867432
3492.824,-0.0816037729382515
3493.628,-0.09939742088317871
3493.976,-0.07205111533403397
3494.576,-0.07615023851394653
3495.424,-0.07344891130924225
3495.776,-0.026077594608068466
3497.176,-0.06912051141262054
3497.624,0.0018928475910797715
3499.924,-0.03499752655625343
3501.676,0.11705996841192245
3502.124,0.1735590696334839
3502.524,0.19795890152454376
3503.924,0.17794610559940338
3504.876,0.019765906035900116
3506.176,-0.10468233376741409
3508.976,-0.07405885308980942
3509.324,-0.08529098331928253
3510.124,-0.08492834866046906
3510.624,-0.07245900481939316
3510.728,-0.0547172911465168
3511.524,-0.08176939189434052
3512.276,-0.07470907270908356
3513.024,-0.05456326901912689
3513.376,-0.014546464197337627
3514.276,-0.03241652995347977
3515.576,-0.03976840525865555
3515.924,0.015733396634459496
3516.176,0.022839272394776344
3516.724,0.018558891490101814
3517.124,0.010091708041727543
3517.524,-0.0006027456256560981
3518.476,-0.049041371792554855
3518.824,-0.052759263664484024
3519.724,-0.10187739878892899
3520.176,-0.10051842778921127
3520.324,-0.08077455312013626
3521.124,-0.1400410234928131
3521.576,-0.11573173105716705
3522.024,-0.10382631421089172
3522.524,-0.10166104882955551
3523.328,-0.1250479817390442
3524.276,-0.10713496059179306
3524.624,-0.0023396897595375776
3525.176,0.012816295959055424
3525.576,0.03896450251340866
3525.776,0.05590704828500748
3526.728,0.004682786297053099
3526.824,0.04847804829478264
3527.176,0.032507967203855515
3528.128,-0.010088000446557999
3528.476,-0.006680701393634081
3528.576,-0.004231370519846678
3529.976,-0.06414670497179031
3531.228,-0.08573269098997116
3532.524,-0.08194776624441147
3533.024,-0.03634298965334892
3533.476,-0.021437672898173332
3533.824,-0.013588614761829376
3534.624,-0.03851190209388733
3535.924,-0.07782379537820816
3536.024,-0.015619907528162003
3538.876,-0.18367843329906464
3539.276,-0.045299600809812546
