Time,data
2569.36,-0.1143999993801117
2570.66,-0.06615384668111801
2573.264,-0.004285714123398066
2573.904,-0.004729729611426592
2574.704,-0.021019108593463898
2575.356,-0.03602484613656998
2575.756,-0.0408284030854702
2576.656,-0.04576271027326584
2577.956,-0.04494382068514824
2578.356,-0.04175824299454689
2579.256,-0.03131868317723274
2579.656,-0.024861877784132957
2580.556,-0.006896551698446274
2581.504,0.0080924853682518
2581.956,0.013483146205544472
2582.256,0.01485714316368103
2583.204,0.01124260388314724
2583.604,0.008588956668972969
2585.204,0.014634146355092525
2587.056,0.058125000447034836
2587.956,0.08506493270397186
2589.956,0.05337423458695412
2590.404,0.04025157168507576
2590.956,0.029999999329447746
2591.304,0.02752809040248394
2591.804,0.02270270325243473
2593.504,0.003351955208927393
2594.904,-0.006593406666070223
2595.156,-0.007344632875174284
2596.056,-0.004597701132297516
2597.104,0.005747126415371895
2597.204,0.006779660936444998
2597.66,0.0150837991386652
2597.804,0.01666666753590107
2599.104,0.04285714402794838
2599.356,0.046073298901319504
2599.46,0.048969071358442307
2601.104,0.05154639109969139
2601.404,0.052941177040338516
2602.404,0.05815217271447182
2603.356,0.06892655044794083
2603.456,0.06833333522081375
2604.656,0.076243095099926
2604.956,0.07966101914644241
2606.156,0.08181817829608917
2607.204,0.07411764562129974
2607.556,0.06586826592683792
2608.704,0.039263803511857986
2610.256,-0.000613496929872781
2611.256,-0.0277419351041317
2612.556,-0.04066666588187218
2612.956,-0.04228188097476959
2613.804,-0.03680555522441864
2614.604,-0.02985074557363987
2615.004,-0.023239437490701675
2615.756,-0.021167883649468422
2615.904,-0.020863309502601624
2616.304,-0.020895522087812424
2616.404,-0.020863309502601624
2616.504,-0.021481482312083244
2617.456,-0.02013888955116272
2618.756,-0.0059602647088468075
2618.856,-0.004729729611426592
2619.656,0.00573248416185379
2620.056,0.007975460030138493
2620.96,0.008441558107733727
2622.404,0.00937500037252903
2622.856,0.010389610193669796
2623.204,0.012500000186264515
2623.704,0.013888888992369175
2624.156,0.013245033100247383
2624.504,0.011409396305680275
2625.456,0.008108108304440975
2627.356,-0.01666666753590107
2627.704,-0.027007298544049263
2628.608,-0.04843749850988388
2628.904,-0.07222222536802292
2630.504,-0.05785714462399483
2630.904,-0.055474452674388885
2632.056,-0.059712231159210205
2632.404,-0.06223776191473007
2633.356,-0.06733333319425583
2633.604,-0.06842105090618134
2635.404,-0.056521739810705185
2635.704,-0.048124998807907104
2636.356,-0.0227544903755188
2637.056,-0.003448275849223137
2638.004,0.011731843464076519
2638.204,0.014204545877873898
2639.856,0.024390242993831635
2640.756,0.03396226465702057
2641.804,0.040522877126932144
2644.304,0.002515723230317235
2644.656,-0.007926829159259796
2645.604,-0.015476190485060215
2645.904,-0.016265060752630234
2646.504,-0.014450866729021072
2647.008,-0.011560693383216858
2647.456,-0.008241758681833744
2647.808,-0.0055555556900799274
2649.004,-0.0031746032182127237
2649.456,-0.0015957446303218603
2650.056,-0.0010695187374949455
2650.404,-0.0016042781062424183
2650.804,-0.0020942408591508865
2651.704,-0.004615384619683027
2652.104,-0.00463917525485158
2653.256,-0.0005235602147877216
2653.756,0.004945055115967989
2654.104,0.008695651777088642
2654.956,0.015053763054311275
2655.304,0.01827956922352314
2656.256,0.023728813976049423
2657.856,0.017241379246115685
2658.204,0.013142856769263744
2658.304,0.01104972418397665
2659.556,-0.002923976629972458
2659.956,-0.010227272287011147
2661.356,-0.02150537632405758
2661.904,-0.022680412977933884
2662.856,-0.021212121471762657
2664.456,-0.014814814552664757
2665.756,0.013450291939079762
2668.004,0.08980891853570938
2668.356,0.10573248565196991
2668.908,0.11184210330247879
2670.456,0.07517730444669724
2670.804,0.0555555559694767
2671.756,0.033571429550647736
2672.656,0.028244275599718094
2673.456,0.027272727340459824
2673.656,0.028244275599718094
2674.604,0.023140495643019676
2674.704,0.022314049303531647
2676.956,-0.027586206793785095
2677.056,-0.03130434826016426
2678.256,-0.06363636255264282
2678.604,-0.06984127312898636
2679.756,-0.06718750298023224
2680.356,-0.05797101557254791
2681.704,-0.05174825340509415
2681.956,-0.0520833320915699
2682.904,-0.04966443032026291
2683.308,-0.048630136996507645
2684.604,-0.04214285686612129
2685.508,-0.02500000037252903
2685.856,-0.01605839468538761
2686.804,0.00074074073927477
2687.156,0.006015037652105093
2687.856,0.00962962955236435
2690.404,-0.001550387591123581
2690.904,-0.01119999960064888
2691.004,-0.012598425149917603
2691.256,-0.030894309282302856
2694.056,-0.02462686598300934
2695.004,-0.014503817074000835
2695.356,-0.006666666828095913
2696.304,0.010370370000600815
2696.604,0.016788320615887642
2697.604,0.02442748099565506
