Time,data
3826.516,0.39988118410110474
3827.164,0.17309781908988953
3827.716,-0.23842696845531464
3828.116,-0.3907071352005005
3829.416,-0.030429407954216003
3830.716,0.23354336619377136
3830.916,0.09343608468770981
3831.416,0.1042572632431984
3831.616,0.0878092497587204
3831.864,0.04542432352900505
3832.364,0.03917618840932846
3832.916,0.02566128969192505
3833.82,0.022045031189918518
3834.164,-0.06212837994098663
3835.016,-0.06977854669094086
3835.364,-0.08627022802829742
3835.764,-0.0884454995393753
3837.016,-0.09581080079078674
3837.364,-0.038164105266332626
3838.316,-0.05130929872393608
3839.264,-0.05556316673755646
3839.564,-0.0041555617935955524
3840.564,-0.05034433677792549
3841.516,-0.06085987761616707
3842.516,-0.027036549523472786
3843.764,-0.0022717358078807592
3844.716,0.023271432146430016
3845.064,0.04201219603419304
3845.764,0.038278307765722275
3846.664,0.020672086626291275
3847.016,0.003218958852812648
3847.964,0.018096284940838814
3848.516,0.01493982132524252
3848.616,-2.5891235054587014e-05
3849.064,0.00036842862027697265
3849.464,0.004611035343259573
3850.716,0.020785396918654442
3851.664,0.022624576464295387
3852.02,0.011539744213223457
3853.364,0.052003245800733566
3854.52,0.05217359587550163
3855.116,0.003982899244874716
3856.016,-0.0032727220095694065
3856.564,-0.006798707880079746
3857.516,0.005261856131255627
3858.12,0.004326946567744017
3858.516,-0.0050068688578903675
3859.564,-0.007844338193535805
3859.964,-0.006777395028620958
3860.516,-0.011347762309014797
3863.216,-0.10824722796678543
3864.464,-0.07396818697452545
3864.816,0.017587579786777496
3865.264,0.05208485573530197
3865.716,0.014394281432032585
3867.516,-0.12987776100635529
3867.864,-0.12221027910709381
3868.316,-0.080012246966362
3868.916,-0.03297897428274155
3869.364,0.013239629566669464
3869.816,0.029598282650113106
3870.164,0.014720429666340351
3871.916,-0.16406773030757904
3872.116,-0.06941936165094376
3872.564,-0.12423402070999146
3872.664,-0.016966374590992928
3873.916,-0.08272642642259598
3874.416,-0.13966763019561768
3874.964,-0.11577682942152023
3876.664,-0.04206041246652603
3877.664,0.1939309984445572
3878.016,0.3138687312602997
3878.12,0.44797393679618835
3879.616,0.049057018011808395
3880.364,-0.5225841999053955
3881.264,-0.3079617917537689
